event_name,event_time,uid
pageview,2019-08-20 00:27:30,80419792
pageview,2019-01-29 08:11:30,74610198
pageview,2019-01-29 01:33:02,101714
pageview,2019-02-22 19:41:04,90089350
pageview,2019-03-04 12:49:09,98247028
pageview,2019-03-25 06:52:25,97678373
pageview,2019-03-27 15:27:31,96471012
pageview,2019-04-25 03:05:30,21447808
pageview,2019-06-08 08:39:03,68507039
pageview,2019-01-23 06:08:49,6628567
pageview,2019-06-16 04:57:36,9812659
pageview,2019-07-25 21:21:04,87706123
pageview,2019-06-08 20:51:07,80990048
pageview,2019-05-09 18:03:39,55281379
pageview,2019-02-12 12:53:09,47179455
pageview,2019-02-17 13:00:51,83239021
pageview,2019-03-18 01:52:30,82252069
pageview,2019-08-20 09:33:55,88070261
pageview,2019-08-16 17:36:54,40626635
pageview,2019-03-19 09:51:54,56841688
pageview,2019-07-21 12:18:01,58749937
pageview,2019-06-10 01:08:40,81112562
pageview,2019-06-30 03:22:25,16149076
pageview,2019-06-26 22:10:04,27858028
pageview,2019-01-26 01:43:09,32856422
pageview,2019-04-17 01:53:35,31115544
pageview,2019-03-23 02:30:15,75681098
pageview,2019-03-22 06:34:33,71464671
pageview,2019-08-21 06:29:20,55598
pageview,2019-01-03 04:51:14,65257500
pageview,2019-01-07 02:24:57,59826620
pageview,2019-02-16 01:31:05,6639112
pageview,2019-06-29 12:19:30,33272894
pageview,2019-01-09 03:57:51,11821632
pageview,2019-06-18 19:11:11,91176868
pageview,2019-02-12 21:24:22,95340302
pageview,2019-04-27 18:00:49,46786968
pageview,2019-08-10 07:52:53,4847328
pageview,2019-06-23 04:05:20,91218858
pageview,2019-06-30 15:49:24,83715433
pageview,2019-06-05 05:45:41,94725926
pageview,2019-03-21 08:54:50,88378107
pageview,2019-04-12 05:54:41,26410401
pageview,2019-06-04 19:30:51,8380487
pageview,2019-07-03 12:39:08,30276857
pageview,2019-02-25 00:03:00,84617859
pageview,2019-01-23 20:35:17,31973694
pageview,2019-03-30 22:35:32,42159933
pageview,2019-07-03 12:15:03,71351568
pageview,2019-06-26 05:09:55,43811694
pageview,2019-07-07 10:40:56,86751476
pageview,2019-01-22 08:49:29,36541645
pageview,2019-06-26 12:18:30,21624995
pageview,2019-04-25 01:53:31,90267208
pageview,2019-03-08 20:36:43,45709708
pageview,2019-06-12 06:38:24,55121330
pageview,2019-03-29 21:08:55,94910216
pageview,2019-03-24 11:05:08,10021002
pageview,2019-08-03 04:43:12,70264395
pageview,2019-06-07 18:11:57,3394465
pageview,2019-02-04 10:11:52,38808210
pageview,2019-07-09 04:53:40,18051100
pageview,2019-07-27 16:37:59,72672730
pageview,2019-01-10 01:33:52,74695034
pageview,2019-03-31 10:00:01,6038335
pageview,2019-01-06 05:44:28,11444763
pageview,2019-01-13 05:00:32,92097414
pageview,2019-01-02 17:19:46,98657551
pageview,2019-09-01 04:46:38,83885020
pageview,2019-05-11 17:12:10,74116348
pageview,2019-06-08 14:24:27,58388204
pageview,2019-05-15 06:13:54,75711689
pageview,2019-08-05 14:55:32,94779851
pageview,2019-02-22 22:23:24,44382025
pageview,2019-05-06 12:55:24,7071638
pageview,2019-07-09 20:34:37,26252186
pageview,2019-06-15 03:11:42,46334015
pageview,2019-02-12 23:07:37,59102878
pageview,2019-03-24 15:04:32,12169528
pageview,2019-03-22 07:27:16,21747038
pageview,2019-03-02 21:51:30,68253356
pageview,2019-05-28 19:15:49,58279366
pageview,2019-07-01 22:57:01,31581738
pageview,2019-03-06 17:33:51,16022966
pageview,2019-09-03 08:28:40,84318374
pageview,2019-05-27 03:12:50,72102244
pageview,2019-03-17 17:24:23,3984772
pageview,2019-05-05 11:31:51,14132063
pageview,2019-05-19 00:09:27,44917500
pageview,2019-09-02 17:50:26,39520562
pageview,2019-07-21 06:40:36,46050878
pageview,2019-03-27 22:49:50,48019378
pageview,2019-02-03 04:27:46,1498899
pageview,2019-05-23 12:07:26,80789451
pageview,2019-02-04 06:18:44,95208169
pageview,2019-07-07 10:47:40,76918605
pageview,2019-02-06 09:01:30,72304051
pageview,2019-09-02 08:22:23,70433654
pageview,2019-02-10 10:56:54,57493862
pageview,2019-06-03 04:34:25,10904954
pageview,2019-08-23 16:30:30,29676934
pageview,2019-08-24 17:46:05,24476713
pageview,2019-02-02 04:39:08,59777410
pageview,2019-05-17 11:57:13,96318386
pageview,2019-03-07 01:13:20,69343216
pageview,2019-03-03 04:23:24,86500524
pageview,2019-04-09 12:00:38,54994881
pageview,2019-07-30 10:45:12,11306641
pageview,2019-09-02 13:15:06,80361206
pageview,2019-06-30 23:29:33,65725832
pageview,2019-08-13 22:45:11,19059877
pageview,2019-06-06 20:16:27,72105641
pageview,2019-03-04 10:51:50,68441791
pageview,2019-09-04 09:34:38,94928051
pageview,2019-06-22 00:42:20,94586541
pageview,2019-02-03 00:16:47,13083151
pageview,2019-02-14 17:42:35,95272832
pageview,2019-05-24 07:58:54,31422833
pageview,2019-03-19 19:39:44,88958613
pageview,2019-04-28 12:00:52,22952387
pageview,2019-01-07 16:06:06,89911488
pageview,2019-09-08 08:14:59,33250243
pageview,2019-06-04 13:15:01,92733060
pageview,2019-01-28 04:45:55,10788967
pageview,2019-02-23 05:41:34,92854390
pageview,2019-08-11 05:04:18,64961286
pageview,2019-05-18 07:32:40,51892036
pageview,2019-05-22 02:51:49,70877908
pageview,2019-09-03 16:12:54,57164151
pageview,2019-08-17 00:41:18,56142716
pageview,2019-06-10 20:07:36,49456394
pageview,2019-06-06 17:34:27,10044025
pageview,2019-07-02 22:20:55,22103673
pageview,2019-02-06 04:33:27,77726179
pageview,2019-07-07 09:36:43,63163131
pageview,2019-07-17 17:35:42,9892064
pageview,2019-02-17 09:10:24,53089960
pageview,2019-08-31 18:37:11,44806750
pageview,2019-02-14 10:59:39,82533489
pageview,2019-04-29 23:16:31,62866781
pageview,2019-09-04 12:54:44,30060210
pageview,2019-08-05 20:39:38,91237781
pageview,2019-05-09 19:41:16,61616578
pageview,2019-05-21 19:27:55,76592775
pageview,2019-02-08 20:52:02,12951369
pageview,2019-07-03 06:09:45,24901383
pageview,2019-01-16 11:24:39,3147122
pageview,2019-01-04 07:44:27,93780360
pageview,2019-08-24 21:50:53,98351114
pageview,2019-01-11 21:27:55,67756094
pageview,2019-08-05 15:51:14,83983139
pageview,2019-02-04 16:20:45,22584809
pageview,2019-05-05 20:26:07,24617895
pageview,2019-03-01 02:40:15,61989399
pageview,2019-07-18 11:45:01,35559412
pageview,2019-08-11 02:53:05,41256084
pageview,2019-08-30 19:14:49,61134317
pageview,2019-06-02 05:00:26,6061715
pageview,2019-04-14 16:13:56,53748270
pageview,2019-06-04 12:07:23,96520413
pageview,2019-06-30 15:09:12,45900648
pageview,2019-07-30 12:50:33,7469091
pageview,2019-07-27 20:42:00,81309658
pageview,2019-02-10 05:59:41,59709480
pageview,2019-04-20 17:33:51,10503492
pageview,2019-08-25 08:20:43,86190459
pageview,2019-06-06 12:09:05,70882902
pageview,2019-08-23 01:28:59,59855835
pageview,2019-03-11 07:07:10,37571900
pageview,2019-07-17 20:17:27,80277958
pageview,2019-07-20 19:36:45,10019931
pageview,2019-05-26 07:03:24,65977187
pageview,2019-03-27 21:27:52,13316723
